85.5148 	EXP 	symbol: image = '4.jpg'
85.5148 	EXP 	key: autoDraw = True
85.5148 	EXP 	symbol: autoDraw = True
87.4671 	EXP 	New trial (rep=0, index=7): OrderedDict([('imgpath', '6.jpg'), ('corrans', ['3'])])
87.4976 	DATA 	Keypress: 1
87.5129 	EXP 	key: autoDraw = False
87.5129 	EXP 	symbol: autoDraw = False
87.5129 	EXP 	key: size = array([794, 173])
87.5129 	EXP 	key: image = 'images/key.JPG'
87.5129 	EXP 	symbol: size = array([101, 106])
87.5129 	EXP 	symbol: image = '6.jpg'
87.5129 	EXP 	key: autoDraw = True
87.5129 	EXP 	symbol: autoDraw = True
89.1377 	EXP 	New trial (rep=0, index=8): OrderedDict([('imgpath', '9.jpg'), ('corrans', ['3'])])
89.1518 	DATA 	Keypress: 3
89.1669 	EXP 	key: autoDraw = False
89.1669 	EXP 	symbol: autoDraw = False
89.1669 	EXP 	key: size = array([794, 173])
89.1669 	EXP 	key: image = 'images/key.JPG'
89.1669 	EXP 	symbol: size = array([109,  93])
89.1669 	EXP 	symbol: image = '9.jpg'
89.1669 	EXP 	key: autoDraw = True
89.1669 	EXP 	symbol: autoDraw = True
90.2416 	EXP 	New trial (rep=0, index=9): OrderedDict([('imgpath', '3.jpg'), ('corrans', ['3'])])
90.2661 	DATA 	Keypress: 3
90.2818 	EXP 	key: autoDraw = False
90.2818 	EXP 	symbol: autoDraw = False
90.2818 	EXP 	key: size = array([794, 173])
90.2818 	EXP 	key: image = 'images/key.JPG'
90.2818 	EXP 	symbol: size = array([114, 105])
90.2818 	EXP 	symbol: image = '3.jpg'
90.2818 	EXP 	key: autoDraw = True
90.2818 	EXP 	symbol: autoDraw = True
91.5948 	EXP 	New trial (rep=0, index=10): OrderedDict([('imgpath', '2.jpg'), ('corrans', ['2'])])
91.6218 	DATA 	Keypress: 3
91.6368 	EXP 	key: autoDraw = False
91.6368 	EXP 	symbol: autoDraw = False
91.6368 	EXP 	key: size = array([794, 173])
91.6368 	EXP 	key: image = 'images/key.JPG'
91.6368 	EXP 	symbol: size = array([114, 110])
91.6368 	EXP 	symbol: image = '2.jpg'
91.6368 	EXP 	key: autoDraw = True
91.6368 	EXP 	symbol: autoDraw = True
